id,title,location,experience,skills,company,salary,description,posted_date,type,url
300818006584,SAP XI PI Consultant,"Bengaluru, Chennai",5-10 yrs,"sap pi, sap xi",Technosoft Global Services Pvt Ltd,"    5,00,000 - 15,00,000 P.A.  ",,30 days ago,prefjob,https://www.naukri.com/job-listings-SAP-XI-PI-Consultant-Technosoft-Global-Services-Pvt-Ltd-Bengaluru-Chennai-5-to-10-years-300818006584?src=jobsearchDesk&sid=15382133049957&xp=21&px=44
300818006483,SAP MM with Ariba,"Bengaluru, Chennai",5-10 yrs,"SAP MM, Ariba",Technosoft Global Services Pvt Ltd,  Not disclosed ,,30 days ago,prefjob,https://www.naukri.com/job-listings-SAP-MM-with-Ariba-Technosoft-Global-Services-Pvt-Ltd-Bengaluru-Chennai-5-to-10-years-300818006483?src=jobsearchDesk&sid=15382133049957&xp=22&px=44
300818006314,SAP Ariba  Downstream Module Experience,"Bengaluru, Chennai",4-9 yrs,"ariba, buying",Technosoft Global Services Pvt Ltd,  Not disclosed ,,30 days ago,prefjob,https://www.naukri.com/job-listings-SAP-Ariba-Downstream-Module-Experience-Technosoft-Global-Services-Pvt-Ltd-Bengaluru-Chennai-4-to-9-years-300818006314?src=jobsearchDesk&sid=15382133049957&xp=23&px=44
300818006174,SAP FSCM (CLM or TRM),"Bengaluru, Chennai",5-9 yrs,"treasury, liquidity management, hp alm, sap mdm",Technosoft Global Services Pvt Ltd,  Not disclosed ,,30 days ago,prefjob,https://www.naukri.com/job-listings-SAP-FSCM-CLM-or-TRM-Technosoft-Global-Services-Pvt-Ltd-Bengaluru-Chennai-5-to-9-years-300818006174?src=jobsearchDesk&sid=15382133049957&xp=24&px=44
300818006087,SAP MDM Consultant,"Bengaluru, Chennai",5-9 yrs,"data management, data migration, sap mdm",Technosoft Global Services Pvt Ltd,  Not disclosed ,"Has participated in at least one large information transformation engagement in the appropriate area, ...",30 days ago,hotjob,https://www.naukri.com/job-listings-SAP-MDM-Consultant-Technosoft-Global-Services-Pvt-Ltd-Bengaluru-Chennai-5-to-9-years-300818006087?src=jobsearchDesk&sid=15382133049957&xp=25&px=44
300818005998,ABAP Fiori Consultants,"Bengaluru, Chennai",5-8 yrs,"abap objects, sap abap",Technosoft Global Services Pvt Ltd,  Not disclosed ,,30 days ago,prefjob,https://www.naukri.com/job-listings-ABAP-Fiori-Consultants-Technosoft-Global-Services-Pvt-Ltd-Bengaluru-Chennai-5-to-8-years-300818005998?src=jobsearchDesk&sid=15382133049957&xp=26&px=44
300818001835,Immediate Openings for Medical Educator Team Lead @ Hyderabad,Hyderabad,5-8 yrs,"medical educator, medico marketing, pharma marketing...",Technosoft Global Services Pvt Ltd,  Not disclosed ,,30 days ago,prefjob,https://www.naukri.com/job-listings-Immediate-Openings-for-Medical-Educator-Team-Lead-Hyderabad-Technosoft-Global-Services-Pvt-Ltd-Hyderabad-5-to-8-years-300818001835?src=jobsearchDesk&sid=15382133049957&xp=27&px=44
300818001054,Java Developer,Bengaluru,4-9 yrs,"java, spring boot, j2ee, jee, microservices, bpm, it consulting",Technosoft Global Services Pvt Ltd,  Not disclosed ,,30 days ago,prefjob,https://www.naukri.com/job-listings-Java-Developer-Technosoft-Global-Services-Pvt-Ltd-Bengaluru-4-to-9-years-300818001054?src=jobsearchDesk&sid=15382133049957&xp=28&px=44
270918002469,Data Analyst ( SQL / Hadoop) - Leading Pharma Retail Chain: Mumbai,Mumbai,1-6 yrs,"SQL, PL, Hadoop, Data Analysis, data mining, data management...",Quotient Consultancy,"    6,00,000 - 7,00,000 P.A.  ",1-3 years hands on experience in data analysis;Experience	: 1-3 years of experience in analytics or ...,2 days ago,hotjob,https://www.naukri.com/job-listings-Data-Analyst-SQL-Hadoop-Leading-Pharma-Retail-Chain-Mumbai-Quotient-Consultancy-Mumbai-1-to-6-years-270918002469?src=jobsearchDesk&sid=15382133049957&xp=29&px=44
250518005181,Openings for Record Information Management @ Bangalore,Bengaluru,2-4 yrs,"clinical research, icf, ich - gcp, crc, ich, gcp, site monitoring...",Technosoft Global Services Pvt Ltd,  Not disclosed ,,23 days ago,prefjob,https://www.naukri.com/job-listings-Openings-for-Record-Information-Management-Bangalore-Technosoft-Global-Services-Pvt-Ltd-Bengaluru-2-to-4-years-250518005181?src=jobsearchDesk&sid=15382133049957&xp=30&px=44
250518005116,Openings for Record Information Management @ Mumbai,Mumbai,2-4 yrs,"clinical research, icf, ich - gcp, crc, ich, gcp, site monitoring...",Technosoft Global Services Pvt Ltd,  Not disclosed ,,23 days ago,prefjob,https://www.naukri.com/job-listings-Openings-for-Record-Information-Management-Mumbai-Technosoft-Global-Services-Pvt-Ltd-Mumbai-2-to-4-years-250518005116?src=jobsearchDesk&sid=15382133049957&xp=31&px=44
230718001079,Immediate Openings for Medical Educator @ Guwahati,Guwahati,2-4 yrs,"medical educator, medico marketing, pharma marketing",Technosoft Global Services Pvt Ltd,  Not disclosed ,,23 days ago,prefjob,https://www.naukri.com/job-listings-Immediate-Openings-for-Medical-Educator-Guwahati-Technosoft-Global-Services-Pvt-Ltd-Guwahati-2-to-4-years-230718001079?src=jobsearchDesk&sid=15382133049957&xp=32&px=44
220818005167,Hiring Big data with Google Cloud Developer / ML,Indore,4-6 yrs,"apache spark, apache hbase, apache kafka, cloud storage, dataproc, pubsub...",Yash Technologies Pvt ltd,  Not disclosed , Strong analytical skills and business requirement understanding skills; Experience in ...,19 days ago,premium,https://www.naukri.com/job-listings-Hiring-Big-data-with-Google-Cloud-Developer-ML-Yash-Technologies-Pvt-ltd-Indore-4-to-6-years-220818005167?src=jobsearchDesk&sid=15382133049957&xp=33&px=44
210818007675,"Immediate Openings for Payroll Coordinator @ Bangalore,",Bengaluru,3-4 yrs,"Payroll, payroll executive, Payroll Coordinator, payroll validation...",Technosoft Global Services Pvt Ltd,  Not disclosed ,,23 days ago,prefjob,https://www.naukri.com/job-listings-Immediate-Openings-for-Payroll-Coordinator-Bangalore-Technosoft-Global-Services-Pvt-Ltd-Bengaluru-3-to-4-years-210818007675?src=jobsearchDesk&sid=15382133049957&xp=34&px=44
160718000739,Openings for Associate Business Operations Analyst @ Ahmedabad,Ahmedabad,0-1 yrs,"Clinical Research, Clinical Trials, Clinical Data Management, CRC, ICF, ICH...",Technosoft Global Services Pvt Ltd,  Not disclosed ,,24 days ago,prefjob,https://www.naukri.com/job-listings-Openings-for-Associate-Business-Operations-Analyst-Ahmedabad-Technosoft-Global-Services-Pvt-Ltd-Ahmedabad-0-to-1-years-160718000739?src=jobsearchDesk&sid=15382133049957&xp=35&px=44
